MUNICIPIO;NATUREZA DO FATO;ARMA UTILIZADA;SEXO;IDADE;DATA
BEBERIBE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-20
CHOROZINHO;HOMICIDIO DOLOSO;ARMA DE FOGO;F;29;2019-10-20
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-10-20
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;32;2019-10-20
AQUIRAZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;41;2019-10-21
IGUATU;HOMICIDIO DOLOSO;ARMA BRANCA;M;49;2019-10-21
AQUIRAZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2019-10-21
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-10-21
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2019-10-21
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-10-21
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;M;62;2019-10-22
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2019-10-22
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2019-10-22
HORIZONTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-10-23
QUIXERAMOBIM;HOMICIDIO DOLOSO;ARMA BRANCA;M;38;2019-10-23
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2019-10-23
ANTONINA DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-10-23
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2019-10-23
GUAIUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2019-10-23
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-10-23
CHOROZINHO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-10-23
ITAREMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-10-23
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;33;2019-10-23
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-23
MAURITI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;29;2019-10-24
QUIXERE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2019-10-24
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2019-10-25
